point_res_7,count
608802393416531967,138
608818970228686847,263
608802248461385727,72
609312293745852415,177
608801841194467327,61
608818978382413823,226
608803232193445887,36
609312375752884223,81
608802709214068735,70
608795766651092991,19
608801856428179455,80
608801861176131583,163
608803202162229247,138
608796017789239295,5
608803217966366719,39
608819074129985535,161
608819090319998975,142
608802230962749439,135
608802666818043903,61
608801960396587007,37
608802091963514879,5
608802662002982911,58
608797005061292031,73
609312263345537023,45
608799903543459839,27
608798044711813119,107
608802667052924927,7
608819094531080191,96
608803280276946943,52
609312239706439679,85
609312425849651199,39
608797102234927103,25
608803311784558591,68
608797101815496703,24
608799898359300095,26
608801944693112831,31
608811999362547711,25
608801900367708159,36
608803219392430079,121
608801860572151807,262
608801799234650111,33
608803299352641535,25
608795911992115199,4
608801801382133759,213
608795915464998911,8
608801875738755071,28
608798151784005631,52
608798011828469759,61
608803356177072127,10
608797100070666239,62
608802631384563711,24
608802372344348671,1
608803355187216383,11
608803351932436479,6
608801802187440127,90
608803209074442239,136
608818999739809791,53
608819000125685759,42
608819022103838719,58
608818986838130687,101
608802661684215807,50
608801926724714495,123
608798180053614591,27
608801814871015423,6
608798043537407999,10
608807118249656319,8
608801877701689343,24
608801807421931519,22
608802788956176383,89
608819024318431231,1
608818927765553151,136
608819094749183999,70
608801879094198271,172
609312379729084415,61
608801900753584127,25
608802655325650943,41
608845297304469503,70
608802701379108863,11
608802209555021823,29
608802788603854847,54
608802256363454463,69
608844270152974335,1
608802395379466239,71
609312242273353727,175
608797067254431743,33
608798045013803007,50
608819088105406463,25
608819071412076543,414
608819085370720255,11
608802393215205375,110
608803278179794943,37
609312263043547135,54
608795933567614975,44
608802704147349503,29
609312263009992703,35
608818997374222335,38
609313435066302463,103
609313168996433919,105
608802228144177151,26
608798043755511807,63
608818985999269887,564
608802893998325759,25
608801856780500991,53
609312052288159743,4
609312013381795839,3
609311967395446783,1
608818991502196735,7
609313435720613887,180
608818998112419839,35
608819071663734783,47
608802374290505727,11
608798042363002879,87
608801900116049919,13
608795936151306239,8
608798152136327167,69
608802992296034303,13
608803218335465471,43
608798179919396863,31
608798165641986047,11
608818968567742463,46
608795744555499519,9
608798168443781119,52
608798182452756479,24
608802909081042943,9
608818998783508479,25
608798189985726463,16
608803005046718463,40
609313168224681983,193
608801943904583679,14
608796165764284415,20
608803273616392191,19
608802377260072959,6
608807057683906559,18
608795740780625919,8
609313450182574079,44
608802702385741823,10
608797099147919359,15
608802625478983679,34
608802090420011007,21
608819080522104831,47
608802789828591615,12
608801840053616639,106
609313435586396159,15
609312373152415743,31
609313453772898303,9
609313415386628095,19
609313417366339583,3
608802033679466495,46
608802739345948671,52
608807127376461823,20
608802017858551807,86
608802230325215231,15
608819024553312255,23
608801873557716991,20
608801799704412159,3
608807117847003135,12
608797081968050175,48
608798009580322815,30
608802357093859327,63
608802761928081407,58
608802357060304895,28
608803000466538495,23
608796052081868799,26
608803197162618879,372
608802376035336191,7
608802798301085695,310
608801867920572415,33
608801877869461503,32
608802360986173439,9
608811047658192895,11
608818998129197055,53
608802789744705535,3
608819014503759871,42
608802361204277247,62
608798148529225727,96
608802364240953343,40
608797094920060927,11
608796054984327167,50
608803189344436223,57
608801791835897855,102
608818976251707391,71
608818927715221503,8
608818925651623935,67
608802384440721407,12
608802771507871743,4
609312238884356095,50
608819022439383039,26
608797029337923583,16
608803197884039167,49
608798191109799935,4
608801899545624575,101
608801863004848127,40
608845333224488959,6
608802657288585215,19
609313178962100223,5
608802248444608511,77
608802991356510207,23
608819060037124095,75
609313417970319359,12
608798052362223615,57
608845304518672383,2
608802090269016063,11
609312236468436991,29
608803198320246783,13
608803286702620671,35
608845289771499519,11
608802033864015871,23
608845289268183039,10
608845305860849663,4
608819044685971455,42
608801810492162047,7
608802455425122303,51
608798038604906495,50
608798176144523263,27
608819023529902079,26
608803207145062399,4
608802939112259583,22
608802013429366783,7
608801862602194943,34
608796174505213951,18
608801862535086079,220
608819019285266431,46
608797033632890879,2
608802647859789823,103
609312291984244735,26
608818994454986751,34
608819091494404095,18
608844367779594239,59
608801901156237311,63
608803259053768703,7
608803277726810111,4
609312292051353599,59
608796199721369599,1
608844342462775295,3
609313439562596351,35
608796872236072959,10
609312409726746623,51
609312288779796479,14
608807119340175359,9
608807117477904383,63
608818984740978687,18
608802028293980159,1
608802579039649791,12
608795742491901951,5
609312343221862399,9
608797269302444031,3
608819085471383551,10
608802016650592255,20
608803310979252223,6
608797280509624319,58
609312345419677695,21
609312417477820415,22
609312289903869951,42
608797067388649471,79
608801845070004223,36
608797068294619135,9
608801810106286079,42
609312256013893631,3
608803237713149951,87
608801817739919359,54
609313418893066239,2
608819056899784703,4
608801809502306303,16
608802377897607167,25
608807122427183103,31
608802015660736511,31
608796894348443647,8
609312073024798719,18
608799921008541695,14
608802455978770431,5
608799902989811711,18
609312339514097663,2
608796981942288383,10
608845291482775551,2
608798020300963839,3
608818987895095295,33
608802627475472383,24
609313167704588287,17
608845287540129791,1
608801811263913983,10
608818997474885631,71
608801803177295871,27
608798326803922943,34
608811976377761791,1
608798052328669183,16
608802390312747007,7
608818974020337663,6
608801839499968511,11
608803014123192319,6
608811978592354303,3
608803329417412607,1
608802992547692543,5
608803308613664767,17
609312314750926847,3
608802991037743103,24
608802940538322943,55
608799904214548479,15
608796017084596223,28
608796049716281343,24
608801798613893119,19
609312078074740735,54
608802373267095551,24
609313416158380031,6
609312157061873663,18
